service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
PRIV42018-hpa48011-Weekday-01,1,1,1,1,1,0,0,20181018,20181221
PRIV42018-hpa48016-Saturday-01,0,0,0,0,0,1,0,20181018,20181222
BUS42018-hba48011-Weekday-02,1,1,1,1,1,0,0,20181018,20181221
BUS42018-hba48ns1-Weekday-02,1,1,1,1,1,0,0,20181025,20181123
BUS42018-hbb48017-Sunday-02,0,0,0,0,0,0,1,20181018,20181216
BUS42018-hbb48hl7-Sunday-02,0,0,0,0,0,0,1,20181025,20181122
BUS42018-hbb48011-Weekday-02,1,1,1,1,1,0,0,20181018,20181221
BUS42018-hbb48016-Saturday-02,0,0,0,0,0,1,0,20181018,20181222
BUS42018-hbb48ns1-Weekday-02,1,1,1,1,1,0,0,20181025,20181123
BUS42018-htt48011-Weekday-02,1,1,1,1,1,0,0,20181018,20181221
BUS42018-htt48016-Saturday-02,0,0,0,0,0,1,0,20181018,20181222
BUS42018-htt48ns1-Weekday-02,1,1,1,1,1,0,0,20181025,20181123
RTL42018-hmb48017-Sunday-01,0,0,0,0,0,0,1,20181018,20181216
RTL42018-hmb48hl7-Sunday-01,0,0,0,0,0,0,1,20181025,20181122
RTL42018-hmb48011-Weekday-01,1,1,1,1,1,0,0,20181018,20181221
RTL42018-hmb48016-Saturday-01,0,0,0,0,0,1,0,20181018,20181222
BUS42018-hbc48017-Sunday-02,0,0,0,0,0,0,1,20181018,20181216
BUS42018-hbc48hl7-Sunday-02,0,0,0,0,0,0,1,20181025,20181122
BUS42018-hbc48wk1-Weekday-02,1,1,1,1,1,0,0,20181018,20181220
BUS42018-hbc48fr1-Weekday-02,1,1,1,1,1,0,0,20181018,20181221
BUS42018-hbc48016-Saturday-02,0,0,0,0,0,1,0,20181018,20181222
BUS42018-hbc48nz1-Weekday-02,1,1,1,1,1,0,0,20181025,20181112
BUS42018-hbc48nf1-Weekday-02,1,1,1,1,1,0,0,20181123,20181123
BUS42018-hbg48017-Sunday-02,0,0,0,0,0,0,1,20181018,20181216
BUS42018-hbg48hl7-Sunday-02,0,0,0,0,0,0,1,20181025,20181122
BUS42018-hbg48011-Weekday-02,1,1,1,1,1,0,0,20181018,20181221
BUS42018-hbg48016-Saturday-02,0,0,0,0,0,1,0,20181018,20181222
BUS42018-hbg48ns1-Weekday-02,1,1,1,1,1,0,0,20181025,20181123
BUS42018-hbf48011-Weekday-02,1,1,1,1,1,0,0,20181018,20181221
BUS42018-hbf48ns1-Weekday-02,1,1,1,1,1,0,0,20181025,20181123
PRIV42018-hpj48017-Sunday-01,0,0,0,0,0,0,1,20181018,20181216
PRIV42018-hpj48011-Weekday-01,1,1,1,1,1,0,0,20181018,20181221
PRIV42018-hpj48016-Saturday-01,0,0,0,0,0,1,0,20181018,20181222
LRV42018-hlb48011-Weekday-01,1,1,1,1,1,0,0,20181018,20181221
LRV42018-hlb48016-Saturday-01,0,0,0,0,0,1,0,20181018,20181222
LRV42018-hlb48th7-Sunday-01,0,0,0,0,0,0,1,20181122,20181122
LRV42018-hlm48017-Sunday-01,0,0,0,0,0,0,1,20181018,20181216
LRV42018-hlm48011-Weekday-01,1,1,1,1,1,0,0,20181018,20181221
LRV42018-hlm48016-Saturday-01,0,0,0,0,0,1,0,20181018,20181222
LRV42018-hlm48th7-Sunday-01,0,0,0,0,0,0,1,20181122,20181122
BUS42018-hbl48017-Sunday-02,0,0,0,0,0,0,1,20181018,20181216
BUS42018-hbl48hl7-Sunday-02,0,0,0,0,0,0,1,20181025,20181122
BUS42018-hbl48011-Weekday-02,1,1,1,1,1,0,0,20181018,20181221
BUS42018-hbl48016-Saturday-02,0,0,0,0,0,1,0,20181018,20181222
BUS42018-hbl48ns1-Weekday-02,1,1,1,1,1,0,0,20181025,20181123
RTL42018-hmo48017-Sunday-01,0,0,0,0,0,0,1,20181025,20181216
RTL42018-hmo48hl7-Sunday-01,0,0,0,0,0,0,1,20181025,20181122
RTL42018-hmo48011-Weekday-01,1,1,1,1,1,0,0,20181018,20181221
RTL42018-hmo48016-Saturday-01,0,0,0,0,0,1,0,20181025,20181222
PRIV42018-hpp48017-Sunday-01,0,0,0,0,0,0,1,20181018,20181216
PRIV42018-hpp48hl7-Sunday-01,0,0,0,0,0,0,1,20181025,20181122
PRIV42018-hpp48011-Weekday-01,1,1,1,1,1,0,0,20181018,20181221
PRIV42018-hpp48016-Saturday-01,0,0,0,0,0,1,0,20181018,20181222
PRIV42018-hpp48ns1-Weekday-01,1,1,1,1,1,0,0,20181025,20181123
BUS42018-hbq48017-Sunday-02,0,0,0,0,0,0,1,20181018,20181216
BUS42018-hbq48hl7-Sunday-02,0,0,0,0,0,0,1,20181025,20181122
BUS42018-hbq48011-Weekday-02,1,1,1,1,1,0,0,20181018,20181221
BUS42018-hbq48016-Saturday-02,0,0,0,0,0,1,0,20181018,20181222
BUS42018-hbq48ns1-Weekday-02,1,1,1,1,1,0,0,20181025,20181123
BUS42018-hbs48sw7-Sunday-02,0,0,0,0,0,0,1,20181018,20181216
BUS42018-hbs48hl7-Sunday-02,0,0,0,0,0,0,1,20181025,20181122
BUS42018-hbs48sw1-Weekday-02,1,1,1,1,1,0,0,20181018,20181221
BUS42018-hbs48sw6-Saturday-02,0,0,0,0,0,1,0,20181018,20181222
BUS42018-hbs48sn1-Weekday-02,1,1,1,1,1,0,0,20181025,20181112
BUS42018-hbs48sp6-Saturday-02,0,0,0,0,0,1,0,20181117,20181124
BUS42018-hbs48sp7-Sunday-02,0,0,0,0,0,0,1,20181118,20181125
BUS42018-hbs48sp1-Weekday-02,1,1,1,1,1,0,0,20181119,20181121
BUS42018-hbs48nx1-Weekday-02,1,1,1,1,1,0,0,20181123,20181123
BUS42018-hbt48017-Sunday-02,0,0,0,0,0,0,1,20181018,20181216
BUS42018-hbt48hl7-Sunday-02,0,0,0,0,0,0,1,20181025,20181122
BUS42018-hbt48011-Weekday-02,1,1,1,1,1,0,0,20181018,20181221
BUS42018-hbt48016-Saturday-02,0,0,0,0,0,1,0,20181018,20181222
BUS42018-hbt48ns1-Weekday-02,1,1,1,1,1,0,0,20181025,20181123
Boat-F1-Weekday,1,1,1,1,1,0,0,20181018,20181221
Boat-F4-Weekend,0,0,0,0,0,1,1,20181018,20181222
