service_id,date,exception_type
PRIV42018-hpa48011-Weekday-01,20181122,2
BUS42018-hba48011-Weekday-02,20181112,2
BUS42018-hba48011-Weekday-02,20181122,2
BUS42018-hba48011-Weekday-02,20181123,2
BUS42018-hba48ns1-Weekday-02,20181025,2
BUS42018-hba48ns1-Weekday-02,20181026,2
BUS42018-hba48ns1-Weekday-02,20181029,2
BUS42018-hba48ns1-Weekday-02,20181030,2
BUS42018-hba48ns1-Weekday-02,20181031,2
BUS42018-hba48ns1-Weekday-02,20181101,2
BUS42018-hba48ns1-Weekday-02,20181102,2
BUS42018-hba48ns1-Weekday-02,20181105,2
BUS42018-hba48ns1-Weekday-02,20181106,2
BUS42018-hba48ns1-Weekday-02,20181107,2
BUS42018-hba48ns1-Weekday-02,20181108,2
BUS42018-hba48ns1-Weekday-02,20181109,2
BUS42018-hba48ns1-Weekday-02,20181113,2
BUS42018-hba48ns1-Weekday-02,20181114,2
BUS42018-hba48ns1-Weekday-02,20181115,2
BUS42018-hba48ns1-Weekday-02,20181116,2
BUS42018-hba48ns1-Weekday-02,20181119,2
BUS42018-hba48ns1-Weekday-02,20181120,2
BUS42018-hba48ns1-Weekday-02,20181121,2
BUS42018-hba48ns1-Weekday-02,20181122,2
BUS42018-hbb48hl7-Sunday-02,20181028,2
BUS42018-hbb48hl7-Sunday-02,20181104,2
BUS42018-hbb48hl7-Sunday-02,20181111,2
BUS42018-hbb48hl7-Sunday-02,20181118,2
BUS42018-hbb48hl7-Sunday-02,20181122,1
BUS42018-hbb48011-Weekday-02,20181112,2
BUS42018-hbb48011-Weekday-02,20181122,2
BUS42018-hbb48011-Weekday-02,20181123,2
BUS42018-hbb48ns1-Weekday-02,20181025,2
BUS42018-hbb48ns1-Weekday-02,20181026,2
BUS42018-hbb48ns1-Weekday-02,20181029,2
BUS42018-hbb48ns1-Weekday-02,20181030,2
BUS42018-hbb48ns1-Weekday-02,20181031,2
BUS42018-hbb48ns1-Weekday-02,20181101,2
BUS42018-hbb48ns1-Weekday-02,20181102,2
BUS42018-hbb48ns1-Weekday-02,20181105,2
BUS42018-hbb48ns1-Weekday-02,20181106,2
BUS42018-hbb48ns1-Weekday-02,20181107,2
BUS42018-hbb48ns1-Weekday-02,20181108,2
BUS42018-hbb48ns1-Weekday-02,20181109,2
BUS42018-hbb48ns1-Weekday-02,20181113,2
BUS42018-hbb48ns1-Weekday-02,20181114,2
BUS42018-hbb48ns1-Weekday-02,20181115,2
BUS42018-hbb48ns1-Weekday-02,20181116,2
