facility_id,property_id,value
6,direction,up
6,excludes-stop,65
6,excludes-stop,70022
6,excludes-stop,70041
6,excludes-stop,70042
6,excludes-stop,door-state-meeting
6,excludes-stop,door-state-water
6,excludes-stop,door-state-congress
6,excludes-stop,door-state-exchange
6,excludes-stop,door-state-cityhall
50,alternate-service-text,The elevator at Framingham connecting the Inbound and Outbound platforms is out of service. Please proceed to Concord street to cross over to the outbound platform.
51,alternate-service-text,The elevator at Framingham connecting the Inbound and Outbound platforms is out of service. Please proceed to Concord street to cross over to the outbound platform.
52,alternate-service-text,The elevator at Route 128 Station connecting the inbound platform to the lobby is out of service. Please see station personnel for assistance. 
53,alternate-service-text,The elevator at Route 128 Station connecting the outbound platform to the lobby is out of service. Please see station personnel for assistance. 
54,direction,up
55,direction,up
102,direction,up
102,excludes-stop,9326
102,excludes-stop,9328
102,excludes-stop,door-ogmnl-banks
103,direction,up
103,excludes-stop,9326
103,excludes-stop,9328
103,excludes-stop,door-ogmnl-wash
103,excludes-stop,door-ogmnl-banks
104,direction,up
104,excludes-stop,9326
104,excludes-stop,9328
104,excludes-stop,door-ogmnl-wash
105,direction,up
105,excludes-stop,9326
105,excludes-stop,9328
105,excludes-stop,door-ogmnl-wash
105,excludes-stop,door-ogmnl-banks
112,direction,up
112,excludes-stop,70020
112,excludes-stop,70021
112,excludes-stop,70078
112,excludes-stop,door-dwnxg-temple
112,excludes-stop,door-dwnxg-winter
112,excludes-stop,door-dwnxg-summer
112,excludes-stop,door-dwnxg-macys
112,excludes-stop,door-dwnxg-rochebros
112,excludes-stop,door-dwnxg-franklin
112,excludes-stop,door-dwnxg-hawley
112,excludes-stop,door-dwnxg-101arch
112,excludes-stop,door-dwnxg-summereast
113,direction,up
113,excludes-stop,70020
113,excludes-stop,70021
113,excludes-stop,70077
113,excludes-stop,door-dwnxg-temple
113,excludes-stop,door-dwnxg-winter
113,excludes-stop,door-dwnxg-summer
113,excludes-stop,door-dwnxg-macys
113,excludes-stop,door-dwnxg-rochebros
113,excludes-stop,door-dwnxg-franklin
113,excludes-stop,door-dwnxg-101arch
113,excludes-stop,door-dwnxg-chauncy
113,excludes-stop,door-dwnxg-summereast
123,direction,up
123,excludes-stop,13
123,excludes-stop,70084
123,excludes-stop,door-andrw-exitonly
123,excludes-stop,door-andrw-elevator
124,direction,up
124,excludes-stop,13
124,excludes-stop,70084
124,excludes-stop,door-andrw-exitonly
124,excludes-stop,door-andrw-elevator
125,direction,up
127,direction,up
127,excludes-stop,10642
127,excludes-stop,70001
127,excludes-stop,Forest Hills
127,excludes-stop,door-forhl-upper
127,excludes-stop,door-forhl-arborway
127,excludes-stop,door-forhl-exit
128,direction,up
128,excludes-stop,10642
128,excludes-stop,70001
128,excludes-stop,Forest Hills
128,excludes-stop,door-forhl-upper
128,excludes-stop,door-forhl-arborway
128,excludes-stop,door-forhl-exit
129,direction,up
129,excludes-stop,10642
129,excludes-stop,875
129,excludes-stop,Forest Hills
129,excludes-stop,door-forhl-upper
129,excludes-stop,door-forhl-arborway
129,excludes-stop,door-forhl-lower
129,excludes-stop,door-forhl-exit
130,direction,up
130,excludes-stop,10642
130,excludes-stop,875
130,excludes-stop,Forest Hills
130,excludes-stop,door-forhl-upper
130,excludes-stop,door-forhl-arborway
130,excludes-stop,door-forhl-lower
130,excludes-stop,door-forhl-exit
131,direction,up
131,excludes-stop,9070002
131,excludes-stop,9070003
132,direction,up
132,excludes-stop,9070004
132,excludes-stop,9070005
133,direction,up
133,excludes-stop,11531
133,excludes-stop,9070007
134,direction,up
134,excludes-stop,1258
134,excludes-stop,1323
134,excludes-stop,9070008
135,direction,up
135,excludes-stop,17861
135,excludes-stop,70010
135,excludes-stop,70011
135,excludes-stop,Ruggles
135,excludes-stop,door-rugg-upper
135,excludes-stop,door-rugg-ruggles
135,excludes-stop,door-rugg-buses
135,excludes-stop,door-rugg-forsyth
135,excludes-stop,door-rugg-columbus
136,direction,up
136,excludes-stop,17861
136,excludes-stop,17862
136,excludes-stop,17863
136,excludes-stop,Ruggles
136,excludes-stop,door-rugg-upper
136,excludes-stop,door-rugg-ruggles
136,excludes-stop,door-rugg-buses
136,excludes-stop,door-rugg-forsyth
136,excludes-stop,door-rugg-columbus
137,direction,up
137,excludes-stop,17861
137,excludes-stop,17862
137,excludes-stop,17863
137,excludes-stop,Ruggles
137,excludes-stop,door-rugg-upper
137,excludes-stop,door-rugg-ruggles
137,excludes-stop,door-rugg-buses
137,excludes-stop,door-rugg-forsyth
137,excludes-stop,door-rugg-columbus
138,direction,up
138,excludes-stop,door-rugg-upper
138,excludes-stop,door-rugg-ruggles
138,excludes-stop,door-rugg-buses
138,excludes-stop,door-rugg-columbus
139,direction,up
139,excludes-stop,187
139,excludes-stop,188
139,excludes-stop,9070012
139,excludes-stop,9070013
139,excludes-stop,door-masta-corridor
139,excludes-stop,door-masta-main
139,excludes-stop,door-masta-camden
140,direction,up
140,excludes-stop,11384
140,excludes-stop,176
140,excludes-stop,23391
140,excludes-stop,Back Bay
140,excludes-stop,Back Bay-01
140,excludes-stop,Back Bay-02
140,excludes-stop,Back Bay-03
140,excludes-stop,Back Bay-05
140,excludes-stop,Back Bay-07
140,excludes-stop,door-bbsta-dartmn
140,excludes-stop,door-bbsta-dartms
140,excludes-stop,door-bbsta-dartmw
140,excludes-stop,door-bbsta-buswayn
140,excludes-stop,door-bbsta-busways
140,excludes-stop,door-bbsta-clarcolum
140,excludes-stop,door-bbsta-clarendon1
140,excludes-stop,door-bbsta-clarendon2
140,excludes-stop,door-bbsta-garage
140,excludes-stop,door-bbsta-underpass
141,direction,up
141,excludes-stop,11384
141,excludes-stop,176
141,excludes-stop,23391
141,excludes-stop,Back Bay
141,excludes-stop,Back Bay-01
141,excludes-stop,Back Bay-02
141,excludes-stop,Back Bay-03
141,excludes-stop,Back Bay-05
141,excludes-stop,Back Bay-07
141,excludes-stop,door-bbsta-dartmn
141,excludes-stop,door-bbsta-dartms
141,excludes-stop,door-bbsta-dartmw
141,excludes-stop,door-bbsta-buswayn
141,excludes-stop,door-bbsta-busways
141,excludes-stop,door-bbsta-clarcolum
141,excludes-stop,door-bbsta-clarendon1
141,excludes-stop,door-bbsta-clarendon2
141,excludes-stop,door-bbsta-garage
141,excludes-stop,door-bbsta-underpass
142,direction,up
142,excludes-stop,11384
142,excludes-stop,176
142,excludes-stop,23391
142,excludes-stop,70014
142,excludes-stop,70015
142,excludes-stop,Back Bay-01
142,excludes-stop,Back Bay-02
142,excludes-stop,Back Bay-03
142,excludes-stop,Back Bay-05
142,excludes-stop,Back Bay-07
142,excludes-stop,door-bbsta-dartmn
142,excludes-stop,door-bbsta-dartms
142,excludes-stop,door-bbsta-dartmw
142,excludes-stop,door-bbsta-buswayn
142,excludes-stop,door-bbsta-busways
142,excludes-stop,door-bbsta-clarcolum
