pathway_id,from_stop_id,to_stop_id,facility_id,pathway_mode,pathway_type,traversal_time,wheelchair_traversal_time,ramp_slope,stair_count,pathway_name,pathway_code,signposted_as,instructions
qnctr-000,Quincy Center,70101,,0,2,99,217,,,Commuter Rail to Red Line (Braintree),,Outbound - Braintree,
qnctr-001,Quincy Center,70102,,0,2,99,217,,,Commuter Rail to Red Line (Alewife),,Inbound - Alewife,
qnctr-002,70101,Quincy Center,,0,2,114,258,,,Red Line (Braintree) to Commuter Rail,,"Commuter Rail - Boston, Outbound",
qnctr-003,70102,Quincy Center,,0,2,114,258,,,Red Line (Alewife) to Commuter Rail,,"Commuter Rail - Boston, Outbound",
qnctr-004,Quincy Center,32000,,0,2,104,-1,,,Commuter Rail to Burgin Pkwy bus stop,,Burgin Pkwy bus stop,
qnctr-005,Quincy Center,32001,,0,2,85,160,,,Commuter Rail to Busway,,Busway,
qnctr-006,Quincy Center,32002,,0,2,94,172,,,Commuter Rail to Busway,,Busway,
qnctr-007,Quincy Center,32003,,0,2,104,185,,,Commuter Rail to Busway,,Busway,
qnctr-008,Quincy Center,32004,,0,2,114,197,,,Commuter Rail to Busway,,Busway,
qnctr-009,Quincy Center,32005,,0,2,123,210,,,Commuter Rail to Busway,,Busway,
qnctr-010,32000,Quincy Center,,0,2,87,-1,,,Burgin Pkwy bus stop to Commuter Rail,,"Commuter Rail - Boston, Outbound",
qnctr-011,32001,Quincy Center,,0,2,69,160,,,Busway to Commuter Rail,,"Commuter Rail - Boston, Outbound",
qnctr-012,32002,Quincy Center,,0,2,79,172,,,Busway to Commuter Rail,,"Commuter Rail - Boston, Outbound",
qnctr-013,32003,Quincy Center,,0,2,89,185,,,Busway to Commuter Rail,,"Commuter Rail - Boston, Outbound",
qnctr-014,32004,Quincy Center,,0,2,98,197,,,Busway to Commuter Rail,,"Commuter Rail - Boston, Outbound",
