route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
Boat-F1,1,,Hingham/Hull Ferry,Ferry,4,,008EAA,FFFFFF,1000002
Boat-F4,1,,Charlestown Ferry,Ferry,4,,008EAA,FFFFFF,1000001
Red,1,,Red Line,Rapid Transit,1,,DA291C,FFFFFF,1
Mattapan,1,,Mattapan Trolley,Rapid Transit,0,,DA291C,FFFFFF,2
Orange,1,,Orange Line,Rapid Transit,1,,ED8B00,FFFFFF,3
Green-B,1,B,Green Line B,Rapid Transit,0,,00843D,FFFFFF,4
Green-C,1,C,Green Line C,Rapid Transit,0,,00843D,FFFFFF,5
Green-D,1,D,Green Line D,Rapid Transit,0,,00843D,FFFFFF,6
Green-E,1,E,Green Line E,Rapid Transit,0,,00843D,FFFFFF,7
Blue,1,,Blue Line,Rapid Transit,1,,003DA5,FFFFFF,8
741,1,SL1,Logan Airport - South Station,Rapid Transit,3,,7C878E,FFFFFF,9
742,1,SL2,Design Center - South Station,Rapid Transit,3,,7C878E,FFFFFF,10
743,1,SL3,Chelsea - South Station,Rapid Transit,3,,7C878E,FFFFFF,11
751,1,SL4,Dudley - South Station,Rapid Transit,3,,7C878E,FFFFFF,12
749,1,SL5,Dudley - Downtown Crossing,Rapid Transit,3,,7C878E,FFFFFF,13
746,1,,Silver Line Way - South Station,Rapid Transit,3,,7C878E,FFFFFF,14
701,1,CT1,"Central Square, Cambridge - Boston Medical Center",Local Bus,3,,FFC72C,000000,81
747,1,CT2,Sullivan - Ruggles,Local Bus,3,,FFC72C,000000,82
708,1,CT3,Beth Israel Deaconess or Boston Medical Center - Andrew,Local Bus,3,,FFC72C,000000,83
1,1,1,Harvard - Dudley via Massachusetts Avenue,Key Bus Route (Frequent Service),3,,FFC72C,000000,100
4,1,4,North Station - Tide Street,Limited Service,3,,FFC72C,000000,400
5,1,5,City Point - McCormack Housing,Limited Service,3,,FFC72C,000000,500
7,1,7,City Point - Downtown Boston,Local Bus,3,,FFC72C,000000,700
8,1,8,Harbor Point/UMass - Kenmore,Local Bus,3,,FFC72C,000000,800
9,1,9,City Point - Copley via Broadway Station,Local Bus,3,,FFC72C,000000,900
10,1,10,City Point - Copley via Boston Medical Center,Local Bus,3,,FFC72C,000000,1000
11,1,11,City Point - Downtown Boston,Local Bus,3,,FFC72C,000000,1100
14,1,14,Roslindale Square - Heath Street,Local Bus,3,,FFC72C,000000,1400
15,1,15,Kane Square - Ruggles,Key Bus Route (Frequent Service),3,,FFC72C,000000,1500
16,1,16,Forest Hills - Andrew or UMass,Local Bus,3,,FFC72C,000000,1600
17,1,17,Fields Corner - Andrew via Uphams Corner,Local Bus,3,,FFC72C,000000,1700
18,1,18,Ashmont - Andrew,Local Bus,3,,FFC72C,000000,1800
19,1,19,Fields Corner - Kenmore or Ruggles,Local Bus,3,,FFC72C,000000,1900
21,1,21,Ashmont - Forest Hills,Local Bus,3,,FFC72C,000000,2100
22,1,22,Ashmont - Ruggles via Jackson Square,Key Bus Route (Frequent Service),3,,FFC72C,000000,2200
23,1,23,Ashmont - Ruggles via Washington Street,Key Bus Route (Frequent Service),3,,FFC72C,000000,2300
24,1,24,Wakefield Avenue & Truman Parkway - Mattapan or Ashmont,Local Bus,3,,FFC72C,000000,2400
2427,1,24/27,Wakefield Avenue & Truman Parkway - Ashmont,Limited Service,3,,FFC72C,000000,2401
26,1,26,Ashmont - Gallivan Boulevard,Local Bus,3,,FFC72C,000000,2600
27,1,27,Mattapan - Ashmont,Local Bus,3,,FFC72C,000000,2700
28,1,28,Mattapan - Ruggles,Key Bus Route (Frequent Service),3,,FFC72C,000000,2800
29,1,29,Mattapan - Jackson Square,Local Bus,3,,FFC72C,000000,2900
30,1,30,Mattapan - Forest Hills via Roslindale Square,Local Bus,3,,FFC72C,000000,3000
31,1,31,Mattapan - Forest Hills via Morton Street,Local Bus,3,,FFC72C,000000,3100
32,1,32,Wolcott Square - Forest Hills,Key Bus Route (Frequent Service),3,,FFC72C,000000,3200
3233,1,32/33,"River Street & Milton Street, Dedham - Forest Hills",Limited Service,3,,FFC72C,000000,3201
33,1,33,"River Street & Milton Street, Dedham - Mattapan",Local Bus,3,,FFC72C,000000,3300
34,1,34,Dedham Line - Forest Hills,Local Bus,3,,FFC72C,000000,3400
34E,1,34E,Walpole - Forest Hills,Local Bus,3,,FFC72C,000000,3401
35,1,35,Dedham Mall - Forest Hills,Local Bus,3,,FFC72C,000000,3500
36,1,36,Charles River Loop - Forest Hills,Local Bus,3,,FFC72C,000000,3600
37,1,37,Baker Street & Vermont Street - Forest Hills,Local Bus,3,,FFC72C,000000,3700
3738,1,37/38,Baker Street & Vermont Street - Forest Hills via South Street,Limited Service,3,,FFC72C,000000,3701
38,1,38,Wren Street - Forest Hills,Local Bus,3,,FFC72C,000000,3800
39,1,39,Forest Hills - Back Bay Station,Key Bus Route (Frequent Service),3,,FFC72C,000000,3900
40,1,40,Georgetowne - Forest Hills,Local Bus,3,,FFC72C,000000,4000
4050,1,40/50,Cleary Square - Forest Hills,Limited Service,3,,FFC72C,000000,4001
41,1,41,Centre Street & Eliot Street - JFK/UMass Station,Local Bus,3,,FFC72C,000000,4100
42,1,42,Forest Hills - Dudley,Local Bus,3,,FFC72C,000000,4200
43,1,43,Ruggles - Downtown Boston,Local Bus,3,,FFC72C,000000,4300
44,1,44,Jackson Square - Ruggles,Local Bus,3,,FFC72C,000000,4400
45,1,45,Franklin Park - Ruggles,Local Bus,3,,FFC72C,000000,4500
47,1,47,"Central Square, Cambridge - Broadway Station",Local Bus,3,,FFC72C,000000,4700
50,1,50,Cleary Square - Forest Hills,Local Bus,3,,FFC72C,000000,5000
51,1,51,Reservoir - Forest Hills,Local Bus,3,,FFC72C,000000,5100
52,1,52,Dedham Mall - Watertown Yard,Local Bus,3,,FFC72C,000000,5200
55,1,55,Jersey Street & Queensberry Street - Downtown Boston,Local Bus,3,,FFC72C,000000,5500
57,1,57,Watertown Yard - Kenmore,Key Bus Route (Frequent Service),3,,FFC72C,000000,5700
57A,1,57A,Oak Square - Kenmore,Limited Service,3,,FFC72C,000000,5701
59,1,59,Needham Junction - Watertown Square,Local Bus,3,,FFC72C,000000,5900
60,1,60,Chestnut Hill - Kenmore,Local Bus,3,,FFC72C,000000,6000
62,1,62,Bedford VA Hospital - Alewife,Local Bus,3,,FFC72C,000000,6200
627,1,62/76,Bedford VA Hospital - Alewife via Hanscom Air Force Base,Limited Service,3,,FFC72C,000000,6201
64,1,64,Oak Square - University Park or Kendall/MIT,Local Bus,3,,FFC72C,000000,6400
65,1,65,Brighton - Kenmore,Local Bus,3,,FFC72C,000000,6500
66,1,66,Harvard - Dudley via Allston,Key Bus Route (Frequent Service),3,,FFC72C,000000,6600
