stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_url,level_id,location_type,parent_station,wheelchair_boarding,stop_address
Boat-Hull,,Hull,,,,42.303251,-70.920215,,,,0,,1,"180 Main St, Hull, MA 02045"
Boat-Logan,,Logan Airport Ferry Terminal,,,,42.359789,-71.027340,,,,0,,1,"Harborside Dr, East Boston, MA 02128"
Boat-Long,,Long Wharf (North),,,,42.360795,-71.049976,,,,0,,1,"Long Wharf near Christopher Columbus Park, Boston, MA 02110"
Boat-Long-South,,Long Wharf (South),,,,42.359448,-71.050498,,,,0,,1,"Long Wharf near Old Atlantic Ave, Boston, MA 02110"
Boat-Charlestown,,Charlestown,,,,42.373334,-71.054160,,,,0,,1,"Pier 4, Boston, MA 02129"
Boat-Rowes,,Rowes Wharf,,,,42.355721,-71.049897,,,,0,,1,"60 Rowes Wharf, Boston, MA 02110"
Boat-Hingham,,Hingham,,,,42.252643,-70.919875,,,,0,,1,"349 Lincoln St, Hingham, MA 02043"
1,1,Washington St opp Ruggles St,,,,42.330957,-71.082754,,,,0,,1,
10,10,Theo Glynn Way @ Newmarket Sq,,,,42.330555,-71.068787,,,,0,,1,
10000,10000,Tremont St opp Temple Pl,,,,42.355692,-71.062911,,,,0,,1,
10003,10003,Albany St opp Randall St,,,,42.331591,-71.076237,,,,0,,0,
10005,10005,Albany St opp E Concord St,,,,42.335017,-71.071280,,,,0,,1,
10006,10006,Albany St opp E Newton St,,,,42.335814,-71.070135,,,,0,,1,
10007,10007,540 Albany St opp Wareham St,,,,42.338372,-71.066556,,,,0,,1,
10008,10008,Albany St opp Randolph St,,,,42.339915,-71.064356,,,,0,,0,
10009,10009,High St @ Duck Lane,,,,42.214986,-70.915924,,,,0,,0,
1001,1001,Newton St @ Arlington Rd,,,,42.307661,-71.169522,,,,0,,0,
10010,10010,Southampton St @ Newmarket St,,,,42.330944,-71.064621,,,,0,,0,
10011,10011,Albany St @ Randolph St,,,,42.340162,-71.064227,,,,0,,1,
10012,10012,Albany St @ Wareham St,,,,42.338361,-71.066667,,,,0,,1,
10013,10013,Albany St @ E Dedham St,,,,42.337556,-71.067875,,,,0,,1,
10014,10014,Albany St opp Boston Medical,,,,42.334342,-71.072226,,,,0,,1,
10015,10015,Harrison Ave @ E Newton St,,,,42.337402,-71.072162,,,,0,,1,
10016,10016,TradeCenter 128,,,,42.499402,-71.162384,,,,0,,0,
10031,10031,E 1st St @ P St,,,,42.338307,-71.027132,,,,0,,0,
10032,10032,E 1st St opp O St,,,,42.338274,-71.029203,,,,0,,0,
10033,10033,E 1st St @ O St,,,,42.338176,-71.029444,,,,0,,0,
101,101,Massachusetts Ave @ Sidney St,,,,42.362988,-71.099486,,,,0,,0,
10100,10100,Albany St @ Randall St,,,,42.331675,-71.076347,,,,0,,0,
10101,10101,Melnea Cass Blvd @ Harrison Ave,,,,42.332066,-71.079147,,,,0,,0,
10134,10134,Massachusetts Ave @ NStar,,,,42.324778,-71.065219,,,,0,,1,
102,102,Massachusetts Ave @ Prospect St,,,,42.365291,-71.103404,,,,0,,1,
1026,1026,Chestnut Hill Ave @ Veronica Smith Ctr,,,,42.347693,-71.153921,,,,0,,0,
1027,1027,Chestnut Hill Ave @ Englewood Ave,,,,42.337121,-71.152079,,,,0,,1,
1028,1028,Chestnut Hill Ave @ Commonwealth Ave,,,,42.337951,-71.153084,,,,0,,1,
1029,1029,Chestnut Hill Ave @ Commonwealth Ave,,,,42.338312,-71.153451,,,,0,,1,
1030,1030,Chestnut Hill Ave @ Strathmore Rd,,,,42.340260,-71.155274,,,,0,,1,
1031,1031,Chestnut Hill Ave @ Chiswick Rd,,,,42.341096,-71.154737,,,,0,,1,
1032,1032,Chestnut Hill Ave opp Wiltshire Rd,,,,42.343065,-71.153469,,,,0,,1,
1033,1033,Chestnut Hill Ave @ Wallingford Rd,,,,42.344607,-71.153220,,,,0,,1,
1034,1034,Chestnut Hill Ave @ Union St,,,,42.346123,-71.152997,,,,0,,0,
1035,1035,Market St @ Washington St,,,,42.349261,-71.153309,,,,0,,1,
1036,1036,Market St @ Sparhawk St,,,,42.351738,-71.151763,,,,0,,1,
1038,1038,Market St @ Gardena St,,,,42.354227,-71.150236,,,,0,,1,
1039,1039,Market St @ N Beacon St,,,,42.355569,-71.149366,,,,0,,1,
104,104,Massachusetts Ave @ Bigelow St,,,,42.366837,-71.106017,,,,0,,0,
1040,1040,Market St @ Guest St,,,,42.357313,-71.148285,,,,0,,1,
1041,1041,Market St @ Centola St,,,,42.359279,-71.147082,,,,0,,1,
10413,10413,Columbus Ave @ Weld Ave,,,,42.315067,-71.097752,,,,0,,0,
10417,10417,American Legion Hwy @ Blue Hill Ave,,,,42.298267,-71.087238,,,,0,,0,
10418,10418,American Legion Hwy opp Franklin Hill Ave,,,,42.295828,-71.092507,,,,0,,0,
10419,10419,American Legion Hwy @ Canterbury St,,,,42.285933,-71.109847,,,,0,,0,
1042,1042,Market St @ Lothrop St,,,,42.360459,-71.146341,,,,0,,2,
10420,10420,opp 150 American Legion Hwy,,,,42.294747,-71.093301,,,,0,,0,
10421,10421,American Legion Hwy @ Walk Hill St,,,,42.287688,-71.106954,,,,0,,0,
10422,10422,American Legion Hwy opp Shopping Center,,,,42.284762,-71.111695,,,,0,,0,
10423,10423,American Legion Hwy @ Stella Rd,,,,42.280752,-71.116254,,,,0,,0,
10424,10424,American Legion Hwy @ Cummins Hwy,,,,42.278467,-71.116716,,,,0,,0,
10425,10425,American Legion Hwy opp Shopping Mall,,,,42.274382,-71.116781,,,,0,,0,
10426,10426,American Legion Hwy @ Army Reserve,,,,42.284246,-71.112437,,,,0,,0,
10427,10427,American Legion Hwy opp Kingbird Rd,,,,42.293255,-71.094593,,,,0,,0,
1043,1043,Western Ave @ Mackin St,,,,42.361668,-71.144413,,,,0,,1,
1044,1044,Western Ave @ Richardson St,,,,42.361897,-71.143279,,,,0,,1,
1045,1045,450 Western Ave,,,,42.362164,-71.141783,,,,0,,1,
1046,1046,Western Ave @ Litchfield St,,,,42.362531,-71.139786,,,,0,,0,
1049,1049,Western Ave @ Everett St,,,,42.363093,-71.135443,,,,0,,0,
1051,1051,Western Ave @ Travis St,,,,42.363248,-71.128518,,,,0,,1,
1052,1052,130 Western Ave,,,,42.363526,-71.125043,,,,0,,1,
10522,10522,Circuit Dr @ Glen Ln,,,,42.305104,-71.094684,,,,0,,1,
1053,1053,Western Ave @ Genzyme,,,,42.363915,-71.119805,,,,0,,1,
10540,10540,Morton St @ Evans St,,,,42.280886,-71.084654,,,,0,,1,
1055,1055,River St opp Blackstone St,,,,42.361913,-71.114378,,,,0,,0,
1056,1056,River St @ Fairmont St,,,,42.362565,-71.112387,,,,0,,0,
10569,10569,2165 Dorchester Ave,,,,42.276285,-71.067029,,,,0,,1,
1057,1057,River St @ Kelly Rd,,,,42.363156,-71.110605,,,,0,,0,
1058,1058,River St @ Pleasant St,,,,42.363850,-71.108586,,,,0,,0,
10582,10582,River St opp Fremont St,,,,42.269983,-71.089868,,,,0,,0,
10590,10590,Massachusetts Ave @ Washington St,,,,42.336621,-71.076956,,,,0,,0,
106,106,Massachusetts Ave @ Hancock St,,,,42.368390,-71.108618,,,,0,,1,
1060,1060,Magazine St @ Green St,,,,42.365114,-71.104311,,,,0,,1,
10603,10603,Washington St @ Durnell Ave,,,,42.282287,-71.132671,,,,0,,0,
1061,1061,Western Ave @ Kinnaird St,,,,42.364952,-71.108901,,,,0,,1,
10612,10612,Washington St opp W Boundary Rd,,,,42.267920,-71.149996,,,,0,,0,
10618,10618,Washington St @ Sumner St,,,,42.256411,-71.163235,,,,0,,0,
1062,1062,Western Ave @ Howard St,,,,42.364798,-71.110649,,,,0,,0,
10625,10625,Washington St opp Heron St,,,,42.268830,-71.148551,,,,0,,0,
10633,10633,Washington St @ Rosecliff St,,,,42.282087,-71.132727,,,,0,,0,
1064,1064,Western Ave @ Putnam Ave,,,,42.364492,-71.114114,,,,0,,0,
10642,10642,Forest Hills,Forest Hills - Upper Busway,,Upper Busway,42.300749,-71.114314,,,level_ground,0,place-forhl,0,
1067,1067,Western Ave opp Genzyme,,,,42.364074,-71.119704,,,,0,,1,
1068,1068,125 Western Ave,,,,42.363686,-71.124387,,,,0,,1,
107,107,Massachusetts Ave @ Dana St,,,,42.369265,-71.110773,,,,0,,1,
1070,1070,Western Ave @ N Harvard St,,,,42.363284,-71.129148,,,,0,,1,
1071,1071,Western Ave opp Riverdale St,,,,42.363253,-71.132079,,,,0,,1,
1072,1072,Western Ave @ Everett St,,,,42.363179,-71.135542,,,,0,,1,
1074,1074,367 Western Ave opp Brighton Mills Mall,,,,42.362807,-71.138519,,,,0,,1,
1075,1075,Western Ave opp Litchfield St,,,,42.362662,-71.139575,,,,0,,1,
1076,1076,445 Western Ave,,,,42.362341,-71.141360,,,,0,,0,
10768,10768,Centre St @ Grove St,,,,42.268863,-71.161907,,,,0,,0,
10769,10769,Centre St @ Grove St,,,,42.268891,-71.161806,,,,0,,0,
1077,1077,Western Ave opp Richardson St,,,,42.361858,-71.144012,,,,0,,0,
10777,10777,Spring St @ Cass St,,,,42.277170,-71.164194,,,,0,,1,
1079,1079,Market St @ Vineland St,,,,42.356921,-71.148686,,,,0,,1,
108,108,Massachusetts Ave @ Trowbridge St,,,,42.370270,-71.112998,,,,0,,1,
1081,1081,Market St opp Gardena St,,,,42.354329,-71.150346,,,,0,,1,
10820,10820,Veterans Hospital West Roxbury,,,,42.274823,-71.172103,,,,0,,1,
10821,10821,Charles Park Rd @ VFW Pkwy,,,,42.276826,-71.172521,,,,0,,0,
1083,1083,Market St @ Arlington St,,,,42.351510,-71.152061,,,,0,,1,
10830,10830,5 Charles Park Rd,,,,42.276931,-71.172561,,,,0,,1,
10832,10832,Dedham Mall @ Old Navy,,,,42.253872,-71.168630,,,,0,,1,
10833,10833,Dedham Mall @ Stop & Shop,,,,42.258725,-71.168530,,,,0,,1,
1084,1084,Chestnut Hill Ave @ Washington St,,,,42.349027,-71.153531,,,,0,,0,
1085,1085,Chestnut Hill Ave @ Academy Hill Rd,,,,42.347089,-71.153750,,,,0,,0,
1086,1086,Chestnut Hill Ave @ Jackson Ave,,,,42.344738,-71.153293,,,,0,,1,
1087,1087,Chestnut Hill Ave @ Wiltshire Rd,,,,42.343049,-71.153613,,,,0,,1,
1088,1088,Chestnut Hill Ave @ Embassy Rd,,,,42.341436,-71.154691,,,,0,,1,
1089,1089,Chestnut Hill Ave @ South St,,,,42.340486,-71.155288,,,,0,,1,
109,109,Massachusetts Ave @ Bow St,,,,42.372099,-71.115371,,,,0,,1,
1090,1090,Chestnut Hill Ave @ Commonwealth Ave,,,,42.338330,-71.153702,,,,0,,1,
1092,1092,Chestnut Hill Ave @ Beacon St,,,,42.336219,-71.151237,,,,0,,1,
10923,10923,Cummins Hwy @ Wood Ave,,,,42.274133,-71.109187,,,,0,,1,
1093,1093,Faneuil St @ Brackett St,,,,42.351893,-71.165214,,,,0,,0,
1094,1094,Faneuil St @ Fairbanks St,,,,42.352366,-71.163015,,,,0,,0,
1095,1095,Faneuil St @ Oakland St,,,,42.352600,-71.160686,,,,0,,1,
1097,1097,Faneuil St @ S Hobart St,,,,42.353970,-71.158134,,,,0,,0,
1098,1098,Hobart St @ Falkland St,,,,42.354858,-71.158565,,,,0,,0,
109800,109800,Saratoga St @ Saint Edward Rd,,,,42.385269,-71.003096,,,,0,,0,
109802,109802,Saratoga St @ Teragram St,,,,42.383937,-70.999451,,,,0,,0,
109803,109803,Saratoga St @ Annavoy St,,,,42.383411,-70.997985,,,,0,,0,
