route_id,stop_name,stop_id,direction_id,stop_lat,stop_long,stop_sequence
Blue,Bowdoin,70038,1,42.361365,-71.062037,1
Blue,Wonderland,70060,0,42.413495,-70.991613,1
Blue,Government Center,70040,1,42.359705,-71.059215,2
Blue,Revere Beach,70057,0,42.407843,-70.992533,2
Blue,State Street,70042,1,42.358978,-71.057598,3
Blue,Beachmont,70055,0,42.397542,-70.992319,3
Blue,Aquarium,70044,1,42.359784,-71.051652,4
Blue,Suffolk Downs,70053,0,42.390501,-70.997123,4
Blue,Maverick,70046,1,42.369119,-71.03953,5
Blue,Orient Heights,70051,0,42.386867,-71.004736,5
Blue,Airport,70048,1,42.374262,-71.030395,6
Blue,Wood Island,70049,0,42.37964,-71.022865,6
Blue,Airport,70047,0,42.374262,-71.030395,7
Blue,Wood Island,70050,1,42.37964,-71.022865,7
Blue,Maverick,70045,0,42.369119,-71.03953,8
Blue,Orient Heights,70052,1,42.386867,-71.004736,8
Blue,Aquarium,70043,0,42.359784,-71.051652,9
Blue,Suffolk Downs,70054,1,42.390501,-70.997123,9
Blue,State Street,70041,0,42.358978,-71.057598,10
Blue,Beachmont,70056,1,42.397542,-70.992319,10
Blue,Government Center,70039,0,42.359705,-71.059215,11
Blue,Revere Beach,70058,1,42.407843,-70.992533,11
Blue,Wonderland,70060,1,42.413495,-70.991613,12
Blue,Bowdoin,70838,0,42.361365,-71.062037,12
Green-B,Boston College,70106,1,42.340149,-71.167029,1
Green-B,Park Street,70196,0,42.356395,-71.062424,1
Green-B,South Street,70110,1,42.339371,-71.157057,2
Green-B,Boylston,70159,0,42.353214,-71.064545,2
Green-B,Chestnut Hill Avenue,70112,1,42.33873,-71.152526,3
Green-B,Arlington,70157,0,42.351902,-71.070893,3
Green-B,Chiswick Road,70114,1,42.340808,-71.150633,4
Green-B,Copley,70155,0,42.350126,-71.077376,4
Green-B,Sutherland Road,70116,1,42.341589,-71.146089,5
Green-B,Hynes Convention Center,70153,0,42.347888,-71.087903,5
Green-B,Washington Street,70120,1,42.344329,-71.142385,6
Green-B,Kenmore,70151,0,42.348949,-71.095169,6
Green-B,Warren Street,70124,1,42.348285,-71.140436,7
Green-B,Blandford Street,70149,0,42.349276,-71.100213,7
Green-B,Allston Street,70126,1,42.348649,-71.137881,8
Green-B,Boston University East,70147,0,42.349811,-71.104657,8
Green-B,Griggs Street,70128,1,42.348747,-71.1345,9
Green-B,Boston University Central,70145,0,42.350148,-71.107455,9
Green-B,Harvard Avenue,70130,1,42.350263,-71.131298,10
