dt,dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1514764800,2018-01-01 00:00:00 +0000 UTC,4930956,,,,259.61,256.15,262.15,1022,,,59,3,290,,,,,,,,,1,800,Clear,sky is clear,01n
1514768400,2018-01-01 01:00:00 +0000 UTC,4930956,,,,258.77,256.15,260.15,1022,,,59,5,300,,,,,,,,,1,800,Clear,sky is clear,01n
1514772000,2018-01-01 02:00:00 +0000 UTC,4930956,,,,258.31,256.15,260.15,1022,,,59,4,310,,,,,,,,,1,800,Clear,sky is clear,01n
1514775600,2018-01-01 03:00:00 +0000 UTC,4930956,,,,257.77,256.15,259.15,1022,,,64,2,300,,,,,,,,,1,800,Clear,sky is clear,01n
1514779200,2018-01-01 04:00:00 +0000 UTC,4930956,,,,257.15,255.15,259.15,1023,,,64,3,340,,,,,,,,,1,800,Clear,sky is clear,01n
1514782800,2018-01-01 05:00:00 +0000 UTC,4930956,,,,256.85,255.15,258.15,1023,,,59,4,340,,,,,,,,,1,800,Clear,sky is clear,01n
1514786400,2018-01-01 06:00:00 +0000 UTC,4930956,,,,256.23,254.15,258.15,1023,,,64,4,320,,,,,,,,,1,800,Clear,sky is clear,01n
1514790000,2018-01-01 07:00:00 +0000 UTC,4930956,,,,255.77,254.15,257.15,1023,,,58,5,310,,,,,,,,,1,800,Clear,sky is clear,01n
1514793600,2018-01-01 08:00:00 +0000 UTC,4930956,,,,255.53,254.15,257.15,1023,,,58,4,310,,,,,,,,,1,800,Clear,sky is clear,01n
1514797200,2018-01-01 09:00:00 +0000 UTC,4930956,,,,255.23,253.15,257.15,1023,,,58,8,310,,,,,,,,,1,800,Clear,sky is clear,01n
1514800800,2018-01-01 10:00:00 +0000 UTC,4930956,,,,255.08,253.15,256.15,1023,,,58,6,310,,,,,,,,,1,800,Clear,sky is clear,01n
1514804400,2018-01-01 11:00:00 +0000 UTC,4930956,,,,255.07,253.15,256.15,1023,,,58,4,310,,,,,,,,,1,800,Clear,sky is clear,01n
1514808000,2018-01-01 12:00:00 +0000 UTC,4930956,,,,255.15,253.15,256.15,1023,,,70,3,300,,,,,,,,,1,800,Clear,sky is clear,01n
1514811600,2018-01-01 13:00:00 +0000 UTC,4930956,,,,255.24,254.15,256.15,1024,,,58,3,290,,,,,,,,,1,800,Clear,sky is clear,01d
1514815200,2018-01-01 14:00:00 +0000 UTC,4930956,,,,255.65,254.15,257.15,1024,,,59,4,300,,,,,,,,,1,800,Clear,sky is clear,01d
1514818800,2018-01-01 15:00:00 +0000 UTC,4930956,,,,256.23,254.15,258.15,1024,,,50,4,300,,,,,,,,,1,800,Clear,sky is clear,01d
1514822400,2018-01-01 16:00:00 +0000 UTC,4930956,,,,257.9,255.15,260.15,1023,,,50,8,310,,,,,,,,,1,800,Clear,sky is clear,01d
1514826000,2018-01-01 17:00:00 +0000 UTC,4930956,,,,259.64,257.15,261.15,1023,,,46,6,290,,,,,,,,,1,800,Clear,sky is clear,01d
1514829600,2018-01-01 18:00:00 +0000 UTC,4930956,,,,260.8,257.15,262.15,1022,,,43,9,300,,,,,,,,,1,800,Clear,sky is clear,01d
1514833200,2018-01-01 19:00:00 +0000 UTC,4930956,,,,261.56,259.15,263.15,1022,,,43,6,300,,,,,,,,,1,800,Clear,sky is clear,01d
1514836800,2018-01-01 20:00:00 +0000 UTC,4930956,,,,261.98,259.15,263.15,1023,,,46,6,310,,,,,,,,,1,800,Clear,sky is clear,01d
1514840400,2018-01-01 21:00:00 +0000 UTC,4930956,,,,261.83,260.15,263.15,1023,,,46,6,290,,,,,,,,,1,800,Clear,sky is clear,01d
1514844000,2018-01-01 22:00:00 +0000 UTC,4930956,,,,261.07,259.15,262.15,1024,,,46,6,290,,,,,,,,,1,800,Clear,sky is clear,01n
1514847600,2018-01-01 23:00:00 +0000 UTC,4930956,,,,260.24,257.15,262.15,1025,,,46,7,300,,,,,,,,,1,800,Clear,sky is clear,01n
1514851200,2018-01-02 00:00:00 +0000 UTC,4930956,,,,259.39,256.15,261.15,1025,,,59,4,310,,,,,,,,,1,800,Clear,sky is clear,01n
1514854800,2018-01-02 01:00:00 +0000 UTC,4930956,,,,258.62,256.15,260.15,1025,,,54,4,290,,,,,,,,,1,800,Clear,sky is clear,01n
1514858400,2018-01-02 02:00:00 +0000 UTC,4930956,,,,258.15,256.15,260.15,1025,,,59,3,290,,,,,,,,,1,800,Clear,sky is clear,01n
1514862000,2018-01-02 03:00:00 +0000 UTC,4930956,,,,257.57,254.15,260.15,1025,,,64,1,270,,,,,,,,,1,800,Clear,sky is clear,01n
1514865600,2018-01-02 04:00:00 +0000 UTC,4930956,,,,255.86,251.15,259.15,1025,,,76,5,295,,,,,,,,,1,800,Clear,sky is clear,01n
1514869200,2018-01-02 05:00:00 +0000 UTC,4930956,,,,255.54,251.15,259.15,1024,,,76,4,274,,,,,,,,,1,800,Clear,sky is clear,01n
1514872800,2018-01-02 06:00:00 +0000 UTC,4930956,,,,255,250.15,260.15,1024,,,76,4,274,,,,,,,,,1,800,Clear,sky is clear,01n
1514876400,2018-01-02 07:00:00 +0000 UTC,4930956,,,,254.75,250.15,260.15,1023,,,70,1,250,,,,,,,,,1,800,Clear,sky is clear,01n
1514880000,2018-01-02 08:00:00 +0000 UTC,4930956,,,,255,249.15,260.15,1024,,,76,3,310,,,,,,,,,1,800,Clear,sky is clear,01n
1514883600,2018-01-02 09:00:00 +0000 UTC,4930956,,,,255.29,250.15,259.15,1023,,,65,3,290,,,,,,,,,1,800,Clear,sky is clear,01n
1514887200,2018-01-02 10:00:00 +0000 UTC,4930956,,,,255.38,250.15,259.15,1023,,,60,5,290,,,,,,,,,1,800,Clear,sky is clear,01n
1514890800,2018-01-02 11:00:00 +0000 UTC,4930956,,,,254.62,248.15,258.15,1025,,,76,7,290,,,,,,,,,1,800,Clear,sky is clear,01n
1514894400,2018-01-02 12:00:00 +0000 UTC,4930956,,,,255.31,249.15,259.15,1025,,,65,2,290,,,,,,,,,1,800,Clear,sky is clear,01n
1514898000,2018-01-02 13:00:00 +0000 UTC,4930956,,,,254.52,247.15,259.15,1026,,,65,3,290,,,,,,,,,1,800,Clear,sky is clear,01d
1514901600,2018-01-02 14:00:00 +0000 UTC,4930956,,,,256.55,252.15,260.15,1027,,,70,2,310,,,,,,,,,1,800,Clear,sky is clear,01d
1514905200,2018-01-02 15:00:00 +0000 UTC,4930956,,,,258.44,255.15,261.15,1026,,,51,5,280,,,,,,,,,1,800,Clear,sky is clear,01d
1514908800,2018-01-02 16:00:00 +0000 UTC,4930956,,,,260.72,259.15,263.15,1026,,,46,4,310,,,,,,,,,1,800,Clear,sky is clear,01d
1514912400,2018-01-02 17:00:00 +0000 UTC,4930956,,,,262.13,260.15,265.15,1025,,,40,5,300,,,,,,,,,1,800,Clear,sky is clear,01d
1514916000,2018-01-02 18:00:00 +0000 UTC,4930956,,,,263.14,261.15,265.15,1024,,,36,5,290,,,,,,,,,1,800,Clear,sky is clear,01d
1514919600,2018-01-02 19:00:00 +0000 UTC,4930956,,,,263.98,262.15,265.15,1023,,,40,3,280,,,,,,,,,1,800,Clear,sky is clear,01d
1514923200,2018-01-02 20:00:00 +0000 UTC,4930956,,,,264.89,262.15,266.15,1023,,,44,3,260,,,,,,,,,1,800,Clear,sky is clear,01d
